City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tanga,-5.0667,39.1,27.32,77,91,3.46,TZ,1680846485
84,albany,42.6001,-73.9662,8.58,51,88,0.45,US,1680845947
85,puerto ayora,-0.7393,-90.3518,26.42,94,100,1.79,EC,1680846104
86,bambous virieux,-20.3428,57.7575,28.45,89,40,1.54,MU,1680846141
87,constitucion,-35.3333,-72.4167,13.84,59,54,3.67,CL,1680846179
88,fonte boa,-2.4959,-66.2662,22.41,99,97,1.63,BR,1680846486
89,winnemucca,40.973,-117.7357,7.03,49,0,4.12,US,1680846482
90,norman wells,65.282,-126.8329,-8.98,73,75,2.57,CA,1680846096
91,sitka,57.0531,-135.33,4.94,87,100,2.06,US,1680846104
92,havoysund,70.9963,24.6622,3.13,72,14,7.55,NO,1680846486
93,boguchany,58.3814,97.4531,-2.03,54,100,5.18,RU,1680846487
94,jalu,29.0331,21.5482,16.78,54,76,5.91,LY,1680846487
95,portland,45.5234,-122.6762,11.86,95,100,6.17,US,1680845853
96,mehamn,71.0357,27.8492,2.97,60,12,5.14,NO,1680846093
97,kudahuvadhoo,2.6708,72.8944,28.23,67,35,1.23,MV,1680846117
98,cape town,-33.9258,18.4232,17.29,82,40,3.09,ZA,1680846051
99,chuy,-33.6971,-53.4616,17.21,63,85,1.42,UY,1680846096
100,bluff,-46.6,168.3333,11.68,67,50,3.85,NZ,1680846101
101,grindavik,63.8424,-22.4338,4.26,87,100,15.95,IS,1680846488
102,ixtapa,20.7,-105.2,22.57,78,0,1.54,MX,1680846488
103,flinders,-34.5833,150.8552,22.43,78,77,4.01,AU,1680846118
104,bodden town,19.2833,-81.25,26.07,80,0,7.76,KY,1680846488
105,beatrice,40.2681,-96.747,6.77,39,0,3.6,US,1680846488
106,oranjestad,12.524,-70.027,26.06,84,20,6.69,AW,1680846488
107,cairns,-16.9167,145.7667,31.73,71,63,3.6,AU,1680846195
108,zhicheng,30.2956,111.5047,20.84,34,35,2.56,CN,1680846151
109,bermeo,43.4209,-2.7215,5.69,69,3,2.7,ES,1680846489
110,atar,20.5169,-13.0499,21.63,30,100,2.58,MR,1680846489
111,hamilton,39.1834,-84.5333,6.24,80,0,3.09,US,1680846169
112,talnakh,69.4865,88.3972,-26.23,91,100,2.72,RU,1680846104
113,deputatskiy,69.3,139.9,-15.76,79,100,1.09,RU,1680846489
114,krasnaya poyma,55.0014,39.08,5.3,63,9,4.67,RU,1680846490
115,kamenka,51.3223,42.7678,9.8,64,95,5.8,RU,1680846490
116,jamestown,42.097,-79.2353,6.77,65,0,4.47,US,1680845893
117,manaure,11.7751,-72.4445,25.59,76,88,5.9,CO,1680846490
118,guerrero negro,27.9769,-114.0611,14.41,71,2,5.66,MX,1680846118
119,sao felix do xingu,-6.6447,-51.995,21.14,99,89,0.89,BR,1680846170
120,roswell,34.0232,-84.3616,20.69,88,0,0.0,US,1680846351
121,nouadhibou,20.931,-17.0347,17.99,82,62,6.69,MR,1680846490
122,pullman,46.7313,-117.1796,10.13,47,100,3.6,US,1680846491
123,novorudnyy,51.5026,58.1873,1.17,88,100,9.57,RU,1680846491
124,karratha,-20.7377,116.8463,33.54,39,2,6.15,AU,1680846491
125,kapit,2.0167,112.9333,23.46,96,100,1.08,MY,1680846491
126,dikson,73.5069,80.5464,-26.07,93,93,2.56,RU,1680846140
127,bubaque,11.2833,-15.8333,25.11,68,100,4.05,GW,1680846169
128,pitimbu,-7.4706,-34.8086,25.33,76,14,2.26,BR,1680846491
129,alta floresta,-9.8756,-56.0861,20.94,99,100,1.06,BR,1680846492
130,palmer,42.1584,-72.3287,11.75,40,100,6.69,US,1680846357
131,jingdezhen,29.2947,117.2079,19.68,43,0,3.18,CN,1680846492
132,galesong,-5.3166,119.3661,28.01,71,91,5.35,ID,1680846492
133,sept-iles,50.2001,-66.3821,0.24,98,100,2.06,CA,1680846132
134,torbay,47.6666,-52.7314,-0.24,83,100,7.2,CA,1680846100
135,naze,28.3667,129.4833,16.51,84,100,5.5,JP,1680846139
136,kavieng,-2.5744,150.7967,28.61,71,97,3.21,PG,1680846099
137,sol-iletsk,51.1631,54.9918,9.03,74,34,6.99,RU,1680846493
138,swan river,52.1058,-101.2676,-9.06,67,18,3.09,CA,1680846328
139,saldanha,-33.0117,17.9442,18.03,90,39,1.39,ZA,1680846110
140,allapalli,19.4167,80.0667,39.99,19,20,0.65,IN,1680846494
141,batala,31.8186,75.2028,27.88,23,0,3.55,IN,1680846494
142,khatanga,71.9667,102.5,-27.21,92,100,3.95,RU,1680846111
143,pacific grove,36.6177,-121.9166,11.12,85,0,1.54,US,1680846186
144,pipri,19.8,75.5333,34.54,21,40,5.5,IN,1680846494
145,yellowknife,62.456,-114.3525,2.29,64,20,5.14,CA,1680846103
146,pisco,-13.7,-76.2167,24.03,88,0,3.09,PE,1680846176
147,husavik,66.0449,-17.3389,-2.77,77,82,4.63,IS,1680846165
148,ust-maya,60.4167,134.5333,-8.32,71,100,1.88,RU,1680846495
149,chemal,51.4111,86.005,16.62,21,2,5.57,RU,1680846495
150,lagoa,39.05,-27.9833,12.28,65,99,9.42,PT,1680846111
151,cidreira,-30.1811,-50.2056,20.14,75,100,4.76,BR,1680846495
152,aksarka,66.5606,67.7975,-8.73,86,100,8.28,RU,1680846154
153,new norfolk,-42.7826,147.0587,16.72,78,100,0.17,AU,1680846096
154,vestmanna,62.1564,-7.1664,1.51,93,20,0.51,FO,1680846495
